iter	Passed	Remaining
181	7254	669052
182	7294	669077
183	7335	669097
184	7375	669090
185	7413	668934
186	7455	669061
187	7494	668888
188	7533	668816
189	7572	668729
190	7611	668596
191	7657	669031
192	7694	668814
193	7735	668839
194	7776	668927
195	7815	668743
196	7854	668663
197	7893	668573
198	7934	668611
199	7974	668549
200	8012	668426
201	8053	668423
202	8099	668923
203	8138	668831
204	8177	668676
205	8217	668661
206	8257	668589
207	8297	668605
208	8337	668578
209	8376	668470
210	8416	668417
211	8456	668396
212	8495	668271
213	8534	668163
214	8574	668111
215	8613	668036
216	8653	667966
217	8692	667882
218	8734	668032
219	8774	667943
220	8814	667923
221	8854	667925
222	8894	667851
223	8932	667725
224	8971	667586
225	9011	667551
226	9050	667484
227	9089	667344
228	9131	667511
229	9173	667567
230	9214	667654
231	9253	667533
232	9295	667632
233	9334	667516
234	9374	667523
235	9414	667503
236	9457	667638
237	9499	667734
238	9538	667669
239	9579	667677
240	9618	667557
241	9659	667637
242	9700	667673
243	9740	667626
244	9779	667546
245	9819	667496
246	9860	667530
247	9898	667372
248	9939	667356
249	9979	667354
250	10018	667215
251	10058	667217
252	10100	667335
253	10140	667273
254	10182	667386
255	10220	667218
256	10259	667132
257	10300	667116
258	10341	667163
259	10380	667094
260	10422	667132
261	10461	667083
262	10501	667015
263	10541	666987
264	10581	666943
265	10624	667122
266	10666	667165
267	10705	667066
268	10745	667044
269	10786	667054
270	10825	666991
271	10864	666860
272	10904	666876
273	10943	666730
274	10982	666672
275	11022	666601
276	11059	666427
277	11099	666388
278	11139	666355
279	11178	666257
280	11219	666259
281	11257	666107
282	11297	666046
283	11339	666132
284	11377	666031
285	11418	666051
286	11459	666076
287	11498	665966
288	11538	665922
289	11577	665809
290	11621	666020
291	11660	665905
292	11703	666077
293	11742	665953
294	11782	665905
295	11821	665849
296	11859	665702
297	11901	665756
298	11942	665776
299	11982	665739
300	12022	665700
301	12062	665647
302	12100	665543
303	12140	665470
304	12181	665490
305	12219	665359
306	12257	665222
307	12300	665328
308	12339	665231
309	12380	665295
310	12423	665392
311	12463	665352
312	12506	665490
313	12545	665412
314	12585	665327
315	12627	665410
316	12666	665322
317	12705	665239
318	12746	665272
319	12786	665221
320	12826	665162
321	12865	665114
322	12904	665005
323	12946	665088
324	12985	664972
325	13029	665118
326	13069	665098
327	13108	665037
328	13151	665153
329	13192	665132
330	13231	665065
331	13269	664889
332	13312	665038
333	13353	665054
334	13392	664925
335	13432	664916
336	13471	664811
337	13512	664819
338	13551	664744
339	13590	664632
340	13630	664609
341	13669	664522
342	13709	664467
343	13751	664526
344	13789	664433
345	13828	664309
346	13868	664305
347	13906	664138
348	13945	664078
349	13984	664001
350	14024	663936
351	14066	663984
352	14105	663904
353	14143	663804
354	14185	663830
355	14226	663864
356	14265	663762
357	14304	663660
358	14342	663569
359	14382	663493
360	14424	663553
361	14465	663565
362	14504	663481
363	14543	663416
364	14582	663330
365	14622	663282
366	14661	663211
367	14698	663047
368	14739	663051
369	14778	662950
370	14821	663053
371	14863	663087
372	14903	663068
373	14945	663111
374	14983	663007
375	15023	662937
376	15062	662886
377	15104	662931
378	15147	663022
379	15185	662908
380	15224	662793
381	15264	662768
382	15303	662697
383	15346	662786
384	15384	662665
385	15424	662599
386	15463	662512
387	15502	662443
388	15541	662359
389	15580	662305
390	15620	662252
391	15659	662156
392	15699	662117
393	15738	662075
394	15779	662062
395	15819	662035
396	15859	661985
397	15900	661991
398	15941	661973
399	15979	661868
400	16019	661835
401	16058	661739
402	16097	661670
403	16140	661746
404	16178	661654
405	16217	661571
406	16260	661629
407	16298	661534
408	16337	661469
409	16376	661380
410	16415	661280
411	16454	661227
412	16495	661205
413	16536	661222
414	16574	661097
415	16614	661074
416	16657	661127
417	16697	661098
418	16736	661031
419	16775	660955
420	16816	660945
421	16854	660854
422	16895	660834
423	16935	660795
424	16974	660731
425	17013	660648
426	17052	660568
427	17091	660480
428	17129	660394
429	17168	660312
430	17210	660330
431	17248	660217
432	17287	660148
433	17327	660111
434	17368	660116
435	17407	660036
436	17447	660009
437	17488	660025
438	17528	659959
439	17567	659895
440	17605	659798
441	17645	659743
442	17683	659638
443	17723	659616
444	17762	659517
445	17802	659492
446	17842	659458
447	17880	659346
448	17922	659363
449	17960	659258
450	17998	659159
451	18036	659057
452	18075	658965
453	18113	658875
454	18156	658941
455	18195	658860
456	18238	658935
457	18276	658849
458	18316	658789
459	18356	658766
460	18396	658734
461	18435	658660
462	18475	658599
463	18515	658563
464	18554	658502
465	18592	658402
466	18631	658338
467	18671	658302
468	18713	658310
469	18751	658223
470	18795	658310
471	18834	658257
472	18874	658202
473	18916	658241
474	18956	658207
475	18995	658140
476	19034	658078
477	19073	657994
478	19112	657921
479	19155	657974
480	19196	657979
481	19235	657923
482	19274	657830
483	19314	657802
484	19353	657722
485	19394	657738
486	19433	657661
487	19474	657648
488	19513	657578
489	19553	657549
490	19591	657459
491	19634	657522
492	19673	657444
493	19713	657425
494	19755	657434
495	19794	657382
496	19833	657305
497	19872	657233
498	19913	657222
499	19951	657137
500	19990	657044
501	20032	657092
502	20073	657074
503	20117	657162
504	20157	657147
505	20198	657125
506	20240	657171
507	20279	657102
508	20320	657093
509	20360	657038
510	20397	656922
511	20438	656908
512	20478	656872
513	20516	656781
514	20557	656767
515	20596	656703
516	20637	656680
517	20678	656676
518	20717	656606
519	20758	656595
520	20796	656517
521	20836	656456
522	20876	656418
523	20913	656294
524	20954	656296
525	20993	656231
526	21035	656237
527	21074	656190
528	21114	656152
529	21157	656189
530	21195	656094
531	21239	656175
532	21279	656149
533	21320	656129
534	21357	656024
535	21399	656041
536	21439	655989
537	21478	655942
538	21518	655906
539	21564	656032
540	21602	655956
541	21641	655883
542	21680	655797
543	21721	655810
544	21761	655751
545	21802	655763
546	21842	655717
547	21882	655663
548	21921	655596
549	21959	655521
550	22001	655530
551	22041	655484
552	22080	655433
553	22121	655404
554	22169	655621
555	22207	655528
556	22247	655495
557	22286	655413
558	22324	655320
559	22363	655249
560	22403	655214
561	22446	655258
562	22485	655193
563	22526	655177
564	22568	655193
565	22607	655124
566	22648	655119
567	22687	655056
568	22725	654971
569	22768	655003
570	22806	654928
571	22848	654923
572	22887	654868
573	22925	654773
574	22965	654750
575	23005	654698
576	23045	654647
577	23085	654625
578	23128	654654
579	23167	654608
580	23207	654551
581	23247	654536
582	23289	654543
583	23329	654502
584	23368	654446
585	23408	654407
586	23448	654348
587	23491	654417
588	23529	654319
589	23570	654298
590	23614	654383
591	23652	654273
592	23692	654235
593	23732	654199
594	23770	654097
595	23811	654094
596	23849	654002
597	23887	653920
598	23928	653890
599	23968	653850
600	24008	653823
601	24048	653793
602	24087	653727
603	24128	653716
604	24168	653678
605	24207	653610
